景点名称,所在城市,所在省份,景点类型,景点等级,游客样本量,平均评分,平均消费金额,平均门票价格,平均访问时长(小时),跟团占比(%),节假日访问占比(%),高频季节,高频交通方式,高频游客来源省,推荐程度分布,满意度分布,匹配素材标题,匹配素材路径,预览图路径
上海海洋水族馆,上海市,上海,水族馆,4A,233,4.4,330.48,160.0,4.48,28.33,48.5,秋季(65) / 夏季(59),空调大巴(26) / 高铁+大巴(22) / 飞机+大巴(18),福建省(13) / 湖北省(11) / 广东省(11) / 湖南省(11) / 西藏自治区(10),推荐(122) / 强烈推荐(111),满意(122) / 非常满意(111),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
雁门关,忻州市,山西,历史文化,5A,233,4.38,275.48,90.0,4.36,27.9,49.79,夏季(63) / 冬季(59),飞机+大巴(24) / 空调大巴(22) / 高铁+大巴(19),陕西省(15) / 黑龙江省(13) / 辽宁省(12) / 福建省(11) / 广东省(11),推荐(137) / 强烈推荐(96),满意(137) / 非常满意(96),,,
大庆铁人纪念馆,大庆市,黑龙江,红色旅游,4A,233,4.31,163.78,0.0,4.27,34.33,48.93,秋季(67) / 冬季(64),空调大巴(31) / 高铁+大巴(27) / 飞机+大巴(22),湖北省(12) / 贵州省(11) / 内蒙古自治区(11) / 重庆市(10) / 辽宁省(9),推荐(143) / 强烈推荐(90),满意(143) / 非常满意(90),,,
扎龙自然保护区,齐齐哈尔市,黑龙江,自然风光,4A,233,4.29,250.77,65.0,4.52,30.47,49.79,冬季(64) / 夏季(61),飞机+大巴(28) / 空调大巴(27) / 高铁+大巴(16),澳门特别行政区(14) / 四川省(13) / 上海市(12) / 台湾省(12) / 河南省(12),推荐(155) / 强烈推荐(78),满意(155) / 非常满意(78),,,
漳州东山岛,漳州市,福建,自然风光,4A,233,4.29,247.75,60.0,4.3,27.47,45.06,春季(66) / 冬季(60),飞机+大巴(22) / 空调大巴(21) / 高铁+大巴(21),广西壮族自治区(12) / 澳门特别行政区(12) / 山东省(12) / 河南省(11) / 河北省(9),推荐(159) / 强烈推荐(74),满意(159) / 非常满意(74),,,
杜甫草堂,成都市,四川,历史文化,4A,233,4.1,220.73,60.0,4.41,35.19,43.35,夏季(62) / 秋季(62),高铁+大巴(39) / 空调大巴(22) / 飞机+大巴(21),山西省(12) / 北京市(12) / 江西省(11) / 新疆维吾尔自治区(10) / 西藏自治区(10),推荐(197) / 强烈推荐(36),满意(197) / 非常满意(36),成都攻略,D:\wzb\全部131个景点\成都攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_057.png
南昌八一起义纪念馆,南昌市,江西,红色旅游,4A,233,4.01,169.81,0.0,4.22,33.91,46.78,夏季(73) / 春季(57),空调大巴(27) / 高铁+大巴(26) / 飞机+大巴(26),海南省(13) / 山西省(12) / 陕西省(11) / 四川省(11) / 宁夏回族自治区(10),推荐(223) / 强烈推荐(10),满意(223) / 非常满意(10),南昌旅游攻略,D:\wzb\全部131个景点\南昌旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_026.png
厦门曾厝垵,厦门市,福建,历史文化,3A,233,3.9,160.3,0.0,4.43,27.04,46.78,冬季(60) / 春季(58),飞机+大巴(22) / 空调大巴(21) / 高铁+大巴(20),贵州省(11) / 河北省(10) / 黑龙江省(10) / 四川省(10) / 陕西省(10),推荐(226) / 一般(7),满意(226) / 一般(7),厦门旅游攻略,D:\wzb\全部131个景点\厦门旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_028.png
田子坊,上海市,上海,文化艺术,3A,233,3.88,193.39,0.0,4.46,25.75,43.35,夏季(64) / 春季(61),飞机+大巴(25) / 空调大巴(18) / 高铁+大巴(17),河南省(13) / 黑龙江省(12) / 香港特别行政区(11) / 上海市(11) / 山东省(10),推荐(219) / 一般(14),满意(219) / 一般(14),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
桂林漓江,桂林市,广西,自然风光,5A,232,4.81,365.99,210.0,4.55,26.72,48.28,春季(61) / 夏季(60),空调大巴(23) / 飞机+大巴(23) / 高铁+大巴(16),天津市(14) / 河南省(13) / 四川省(12) / 山西省(10) / 江苏省(10),强烈推荐(215) / 推荐(17),非常满意(215) / 满意(17),桂林旅游攻略,D:\wzb\全部131个景点\桂林旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_072.png
云冈石窟,大同市,山西,历史文化,5A,232,4.61,294.97,120.0,4.4,34.91,45.26,夏季(68) / 秋季(55),空调大巴(31) / 高铁+大巴(28) / 飞机+大巴(22),香港特别行政区(13) / 辽宁省(13) / 河北省(12) / 福建省(9) / 甘肃省(9),强烈推荐(156) / 推荐(76),非常满意(156) / 满意(76),大同,D:\wzb\全部131个景点\大同.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_037.png
杭州西湖,杭州市,浙江,自然风光,5A,232,4.58,187.13,0.0,4.9,33.19,53.88,冬季(75) / 夏季(53),高铁+大巴(27) / 空调大巴(25) / 飞机+大巴(25),香港特别行政区(14) / 云南省(12) / 河南省(11) / 山东省(10) / 重庆市(9),强烈推荐(141) / 推荐(91),非常满意(141) / 满意(91),杭州攻略,D:\wzb\全部131个景点\杭州攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_070.png
福州三山两塔,福州市,福建,历史文化,4A,232,4.53,166.2,0.0,4.51,27.59,43.97,春季(65) / 秋季(65),高铁+大巴(31) / 空调大巴(19) / 飞机+大巴(14),广西壮族自治区(10) / 河南省(10) / 陕西省(10) / 北京市(10) / 香港特别行政区(10),强烈推荐(136) / 推荐(96),非常满意(136) / 满意(96),福州旅游攻略,D:\wzb\全部131个景点\福州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_094.png
蜀南竹海,宜宾市,四川,自然风光,4A,232,4.52,263.12,100.0,4.51,30.17,42.24,秋季(64) / 春季(57),高铁+大巴(28) / 空调大巴(24) / 飞机+大巴(18),江西省(12) / 天津市(12) / 香港特别行政区(12) / 陕西省(11) / 宁夏回族自治区(11),强烈推荐(134) / 推荐(98),非常满意(134) / 满意(98),蜀南竹海,D:\wzb\全部131个景点\蜀南竹海.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_104.png
莽山,郴州市,湖南,自然风光,4A,232,4.49,258.15,80.0,4.26,33.19,42.24,春季(65) / 秋季(58),高铁+大巴(29) / 空调大巴(27) / 飞机+大巴(21),陕西省(12) / 江西省(12) / 广东省(11) / 内蒙古自治区(10) / 吉林省(10),强烈推荐(129) / 推荐(103),非常满意(129) / 满意(103),,,
万宁兴隆热带植物园,万宁市,海南,植物园,4A,232,4.47,234.25,60.0,4.47,26.29,46.98,夏季(66) / 秋季(65),飞机+大巴(30) / 高铁+大巴(18) / 空调大巴(13),湖南省(12) / 西藏自治区(11) / 江苏省(11) / 宁夏回族自治区(11) / 北京市(10),强烈推荐(119) / 推荐(113),非常满意(119) / 满意(113),,,
伊春五营国家森林公园,伊春市,黑龙江,自然风光,4A,232,4.4,229.1,60.0,4.45,31.03,46.12,秋季(65) / 夏季(58),空调大巴(24) / 飞机+大巴(24) / 高铁+大巴(24),贵州省(10) / 江苏省(10) / 西藏自治区(10) / 内蒙古自治区(10) / 重庆市(9),推荐(125) / 强烈推荐(107),满意(125) / 非常满意(107),,,
高句丽遗址,通化市,吉林,历史遗址,5A,232,4.4,273.84,100.0,4.34,28.02,46.98,春季(72) / 秋季(58),高铁+大巴(25) / 飞机+大巴(20) / 空调大巴(20),贵州省(12) / 吉林省(12) / 浙江省(11) / 天津市(11) / 澳门特别行政区(11),推荐(135) / 强烈推荐(97),满意(135) / 非常满意(97),,,
梅州客天下,梅州市,广东,文化旅游,4A,232,4.38,278.7,100.0,4.34,32.76,46.12,秋季(62) / 春季(62),高铁+大巴(26) / 飞机+大巴(25) / 空调大巴(25),陕西省(13) / 台湾省(13) / 广东省(11) / 贵州省(11) / 福建省(10),推荐(136) / 强烈推荐(96),满意(136) / 非常满意(96),,,
柳州龙潭公园,柳州市,广西,自然风光,4A,232,4.33,173.89,0.0,4.43,32.76,47.84,冬季(63) / 夏季(62),空调大巴(28) / 高铁+大巴(26) / 飞机+大巴(22),湖南省(13) / 西藏自治区(12) / 湖北省(11) / 浙江省(11) / 广西壮族自治区(10),推荐(140) / 强烈推荐(92),满意(140) / 非常满意(92),,,
海口火山口,海口市,海南,自然风光,4A,232,4.32,228.52,54.0,4.34,33.19,41.38,春季(73) / 冬季(56),高铁+大巴(31) / 空调大巴(26) / 飞机+大巴(20),陕西省(12) / 辽宁省(10) / 新疆维吾尔自治区(10) / 河南省(10) / 贵州省(10),推荐(148) / 强烈推荐(84),满意(148) / 非常满意(84),海口旅游攻略,D:\wzb\全部131个景点\海口旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_083.png
文昌东郊椰林,文昌市,海南,自然风光,3A,232,4.01,148.67,0.0,4.63,28.02,44.4,夏季(66) / 冬季(61),飞机+大巴(22) / 高铁+大巴(22) / 空调大巴(21),湖南省(13) / 上海市(12) / 天津市(12) / 香港特别行政区(11) / 河南省(10),推荐(221) / 强烈推荐(11),满意(221) / 非常满意(11),,,
东北虎林园,哈尔滨市,黑龙江,动物园,4A,232,3.98,261.18,90.0,4.6,27.59,45.26,春季(65) / 冬季(58),高铁+大巴(29) / 飞机+大巴(19) / 空调大巴(16),西藏自治区(13) / 内蒙古自治区(12) / 上海市(11) / 北京市(9) / 湖北省(9),推荐(218) / 强烈推荐(14),满意(218) / 非常满意(14),哈尔滨旅游攻略,D:\wzb\全部131个景点\哈尔滨旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_035.png
大觉山,抚州市,江西,自然风光,5A,231,4.65,225.63,60.0,4.56,29.87,46.75,秋季(64) / 冬季(60),高铁+大巴(32) / 飞机+大巴(19) / 空调大巴(18),福建省(13) / 安徽省(13) / 台湾省(12) / 海南省(12) / 江苏省(10),强烈推荐(165) / 推荐(66),非常满意(165) / 满意(66),,,
普陀山,舟山市,浙江,宗教文化,5A,231,4.61,326.06,160.0,4.41,29.0,45.45,春季(67) / 秋季(59),飞机+大巴(31) / 空调大巴(18) / 高铁+大巴(18),吉林省(14) / 陕西省(11) / 甘肃省(10) / 河南省(10) / 台湾省(10),强烈推荐(154) / 推荐(77),非常满意(154) / 满意(77),普陀山,D:\wzb\全部131个景点\普陀山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_067.png
亚布力滑雪场,哈尔滨市,黑龙江,运动休闲,4A,231,4.43,342.55,180.0,4.41,28.14,43.72,春季(65) / 冬季(59),高铁+大巴(30) / 飞机+大巴(21) / 空调大巴(14),安徽省(14) / 湖南省(12) / 广西壮族自治区(10) / 西藏自治区(10) / 河南省(9),推荐(123) / 强烈推荐(108),满意(123) / 非常满意(108),哈尔滨旅游攻略,D:\wzb\全部131个景点\哈尔滨旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_035.png
白石山,保定市,河北,自然风光,4A,231,4.41,302.48,135.0,4.49,29.87,45.45,夏季(67) / 春季(62),飞机+大巴(24) / 高铁+大巴(23) / 空调大巴(22),吉林省(12) / 湖南省(12) / 天津市(10) / 香港特别行政区(10) / 西藏自治区(10),推荐(127) / 强烈推荐(104),满意(127) / 非常满意(104),,,
衡水湖,衡水市,河北,自然风光,4A,231,4.4,187.67,30.0,4.64,29.87,47.19,夏季(62) / 春季(62),高铁+大巴(27) / 空调大巴(24) / 飞机+大巴(18),河南省(13) / 台湾省(12) / 北京市(10) / 福建省(10) / 山东省(9),推荐(124) / 强烈推荐(107),满意(124) / 非常满意(107),,,
丹霞山,韶关市,广东,自然风光,5A,230,4.68,271.61,100.0,4.61,32.61,44.78,秋季(66) / 夏季(58),高铁+大巴(30) / 飞机+大巴(23) / 空调大巴(22),河南省(13) / 天津市(13) / 安徽省(11) / 四川省(11) / 西藏自治区(11),强烈推荐(175) / 推荐(55),非常满意(175) / 满意(55),,,
西安城墙,西安市,陕西,历史建筑,5A,230,4.68,225.17,54.0,4.69,28.7,47.39,秋季(67) / 春季(60),飞机+大巴(25) / 空调大巴(22) / 高铁+大巴(19),甘肃省(12) / 广东省(11) / 福建省(11) / 湖北省(10) / 江西省(10),强烈推荐(171) / 推荐(59),非常满意(171) / 满意(59),西安,D:\wzb\全部131个景点\西安.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_108.png
六鼎山,延边州,吉林,宗教文化,5A,230,4.58,296.32,110.0,4.48,24.35,45.22,冬季(63) / 夏季(61),高铁+大巴(22) / 飞机+大巴(19) / 空调大巴(15),贵州省(12) / 山西省(12) / 青海省(11) / 山东省(10) / 江西省(10),强烈推荐(146) / 推荐(84),非常满意(146) / 满意(84),,,
汉阳陵,咸阳市,陕西,历史遗址,4A,230,4.51,261.91,70.0,4.77,27.83,51.3,秋季(65) / 冬季(60),高铁+大巴(27) / 飞机+大巴(24) / 空调大巴(13),河南省(13) / 安徽省(12) / 贵州省(9) / 天津市(9) / 吉林省(9),强烈推荐(133) / 推荐(97),非常满意(133) / 满意(97),,,
颐和园,北京市,北京,历史文化,5A,230,4.51,211.19,30.0,4.51,25.22,49.57,冬季(75) / 秋季(55),飞机+大巴(22) / 空调大巴(19) / 高铁+大巴(17),云南省(11) / 四川省(11) / 山东省(10) / 湖南省(10) / 河南省(9),强烈推荐(124) / 推荐(106),非常满意(124) / 满意(106),北京,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_018.png
大唐芙蓉园,西安市,陕西,主题公园,5A,230,4.46,292.7,120.0,4.43,28.7,47.39,春季(66) / 秋季(60),空调大巴(29) / 高铁+大巴(23) / 飞机+大巴(14),江西省(12) / 陕西省(10) / 河北省(10) / 北京市(10) / 江苏省(9),推荐(116) / 强烈推荐(114),满意(116) / 非常满意(114),西安,D:\wzb\全部131个景点\西安.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_108.png
华清宫,西安市,陕西,历史文化,5A,230,4.4,311.96,120.0,4.51,24.35,46.09,夏季(63) / 冬季(60),飞机+大巴(21) / 空调大巴(18) / 高铁+大巴(17),湖南省(16) / 澳门特别行政区(13) / 甘肃省(12) / 海南省(11) / 辽宁省(10),推荐(129) / 强烈推荐(101),满意(129) / 非常满意(101),西安,D:\wzb\全部131个景点\西安.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_108.png
琼海博鳌亚洲论坛,琼海市,海南,主题公园,4A,230,4.39,309.85,128.0,4.56,28.26,39.57,秋季(63) / 春季(56),空调大巴(29) / 高铁+大巴(20) / 飞机+大巴(16),浙江省(12) / 安徽省(12) / 河南省(11) / 贵州省(11) / 广东省(11),推荐(128) / 强烈推荐(102),满意(128) / 非常满意(102),,,
鸡西兴凯湖,鸡西市,黑龙江,自然风光,4A,230,4.29,212.63,45.0,4.61,33.04,40.43,夏季(69) / 秋季(59),飞机+大巴(27) / 高铁+大巴(25) / 空调大巴(24),青海省(14) / 陕西省(13) / 新疆维吾尔自治区(12) / 广西壮族自治区(11) / 江苏省(10),推荐(156) / 强烈推荐(74),满意(156) / 非常满意(74),,,
查干湖,松原市,吉林,自然风光,4A,230,4.26,210.38,25.0,4.67,28.7,47.39,春季(63) / 秋季(61),空调大巴(24) / 飞机+大巴(22) / 高铁+大巴(20),湖南省(12) / 陕西省(11) / 安徽省(11) / 福建省(11) / 天津市(10),推荐(164) / 强烈推荐(66),满意(164) / 非常满意(66),,,
潜江曹禺公园,潜江市,湖北,城市公园,4A,230,4.25,168.11,0.0,4.81,23.91,45.22,夏季(66) / 秋季(64),高铁+大巴(22) / 空调大巴(19) / 飞机+大巴(14),陕西省(13) / 广西壮族自治区(11) / 浙江省(11) / 天津市(11) / 宁夏回族自治区(10),推荐(161) / 强烈推荐(69),满意(161) / 非常满意(69),,,
安源路矿工人运动纪念馆,萍乡市,江西,红色旅游,4A,230,4.08,162.15,0.0,4.5,31.74,49.57,夏季(66) / 春季(60),高铁+大巴(33) / 飞机+大巴(22) / 空调大巴(18),天津市(12) / 湖北省(11) / 宁夏回族自治区(11) / 贵州省(11) / 广西壮族自治区(9),推荐(197) / 强烈推荐(33),满意(197) / 非常满意(33),,,
罗浮山,惠州市,广东,自然风光,5A,229,4.82,216.1,60.0,4.65,29.26,50.22,夏季(64) / 春季(61),高铁+大巴(28) / 飞机+大巴(21) / 空调大巴(18),河南省(15) / 江西省(13) / 浙江省(11) / 吉林省(11) / 四川省(10),强烈推荐(216) / 推荐(13),非常满意(216) / 满意(13),惠州旅游攻略,D:\wzb\全部131个景点\惠州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_056.png
德夯大峡谷,湘西州,湖南,自然风光,4A,229,4.66,262.98,100.0,4.53,29.69,48.91,夏季(63) / 秋季(61),高铁+大巴(24) / 空调大巴(24) / 飞机+大巴(20),湖北省(14) / 广西壮族自治区(13) / 陕西省(12) / 青海省(11) / 江苏省(11),强烈推荐(160) / 推荐(69),非常满意(160) / 满意(69),,,
上海科技馆,上海市,上海,科普教育,5A,229,4.64,203.54,45.0,4.49,29.26,43.67,春季(65) / 秋季(58),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(20),澳门特别行政区(11) / 西藏自治区(11) / 海南省(11) / 吉林省(10) / 山西省(10),强烈推荐(162) / 推荐(67),非常满意(162) / 满意(67),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
阆中古城,南充市,四川,古镇风情,5A,229,4.5,293.69,120.0,4.61,30.13,47.6,冬季(65) / 秋季(60),高铁+大巴(27) / 空调大巴(23) / 飞机+大巴(19),湖南省(11) / 广东省(11) / 江苏省(10) / 上海市(10) / 湖北省(10),强烈推荐(121) / 推荐(108),非常满意(121) / 满意(108),,,
白山长白山大峡谷,白山市,吉林,自然风光,4A,229,4.49,299.72,125.0,4.64,28.82,47.6,夏季(62) / 冬季(61),空调大巴(24) / 飞机+大巴(23) / 高铁+大巴(19),广东省(15) / 辽宁省(13) / 吉林省(12) / 河北省(12) / 浙江省(11),强烈推荐(121) / 推荐(108),非常满意(121) / 满意(108),长白山旅游攻略,D:\wzb\全部131个景点\长白山旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_121.png
安庆振风塔,安庆市,安徽,历史建筑,4A,229,4.48,190.07,20.0,4.64,26.2,46.72,春季(62) / 秋季(59),空调大巴(23) / 高铁+大巴(20) / 飞机+大巴(17),海南省(12) / 浙江省(11) / 黑龙江省(10) / 贵州省(10) / 西藏自治区(10),强烈推荐(118) / 推荐(111),非常满意(118) / 满意(111),,,
吴桥杂技大世界,沧州市,河北,主题公园,4A,229,4.43,285.77,120.0,4.5,24.89,42.36,秋季(60) / 冬季(57),高铁+大巴(24) / 飞机+大巴(17) / 空调大巴(16),天津市(12) / 云南省(11) / 内蒙古自治区(10) / 重庆市(10) / 湖北省(10),推荐(118) / 强烈推荐(111),满意(118) / 非常满意(111),,,
梧州骑楼城,梧州市,广西,历史文化,4A,229,4.4,172.84,0.0,4.27,31.88,40.61,春季(64) / 秋季(59),空调大巴(30) / 高铁+大巴(25) / 飞机+大巴(18),山东省(13) / 西藏自治区(12) / 澳门特别行政区(11) / 江西省(11) / 山西省(10),推荐(128) / 强烈推荐(101),满意(128) / 非常满意(101),,,
黄鹤楼,武汉市,湖北,历史建筑,5A,229,4.29,254.23,70.0,4.36,30.13,42.79,夏季(68) / 冬季(61),飞机+大巴(29) / 空调大巴(22) / 高铁+大巴(18),台湾省(12) / 重庆市(11) / 香港特别行政区(10) / 安徽省(10) / 湖南省(9),推荐(158) / 强烈推荐(71),满意(158) / 非常满意(71),武汉,D:\wzb\全部131个景点\武汉.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_076.png
锦州笔架山,锦州市,辽宁,自然风光,4A,229,4.21,244.15,65.0,4.45,29.26,45.85,夏季(76) / 冬季(58),飞机+大巴(24) / 高铁+大巴(22) / 空调大巴(21),上海市(14) / 吉林省(10) / 新疆维吾尔自治区(10) / 福建省(9) / 山东省(9),推荐(173) / 强烈推荐(56),满意(173) / 非常满意(56),,,
岳阳君山岛,岳阳市,湖南,自然风光,5A,228,4.81,242.2,78.0,4.52,26.32,46.05,春季(72) / 夏季(59),高铁+大巴(29) / 空调大巴(16) / 飞机+大巴(15),澳门特别行政区(13) / 甘肃省(10) / 内蒙古自治区(9) / 西藏自治区(9) / 吉林省(9),强烈推荐(213) / 推荐(15),非常满意(213) / 满意(15),,,
伪满皇宫博物院,长春市,吉林,历史文化,5A,228,4.69,241.03,70.0,4.31,27.63,45.61,夏季(72) / 春季(67),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(16),青海省(12) / 云南省(11) / 山东省(11) / 福建省(10) / 甘肃省(10),强烈推荐(173) / 推荐(55),非常满意(173) / 满意(55),,,
呀诺达雨林,三亚市,海南,自然风光,5A,228,4.6,334.15,168.0,4.46,33.77,46.49,春季(69) / 夏季(55),高铁+大巴(32) / 飞机+大巴(23) / 空调大巴(22),江苏省(13) / 香港特别行政区(12) / 山东省(11) / 广东省(11) / 河南省(10),强烈推荐(150) / 推荐(78),非常满意(150) / 满意(78),三亚旅游攻略,D:\wzb\全部131个景点\三亚旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_003.png
山海关,秦皇岛市,河北,历史文化,5A,228,4.58,221.38,50.0,4.58,29.82,45.18,秋季(63) / 春季(61),高铁+大巴(25) / 空调大巴(23) / 飞机+大巴(20),上海市(11) / 湖南省(10) / 山西省(10) / 安徽省(10) / 北京市(9),强烈推荐(136) / 推荐(92),非常满意(136) / 满意(92),山海关旅游攻略,D:\wzb\全部131个景点\山海关旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_046.png
常州中华恐龙园,常州市,江苏,主题公园,5A,228,4.52,444.72,260.0,4.63,26.32,45.18,秋季(69) / 冬季(57),飞机+大巴(22) / 空调大巴(21) / 高铁+大巴(17),海南省(14) / 宁夏回族自治区(12) / 黑龙江省(12) / 福建省(12) / 河北省(12),强烈推荐(134) / 推荐(94),非常满意(134) / 满意(94),常州旅游攻略,D:\wzb\全部131个景点\常州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_049.png
中山孙中山故居,中山市,广东,红色旅游,5A,228,4.51,179.15,0.0,4.45,28.07,41.67,春季(65) / 夏季(63),高铁+大巴(23) / 飞机+大巴(21) / 空调大巴(20),湖南省(13) / 甘肃省(11) / 天津市(10) / 河南省(10) / 广东省(9),强烈推荐(130) / 推荐(98),非常满意(130) / 满意(98),,,
崀山,邵阳市,湖南,自然风光,5A,228,4.5,327.88,136.0,4.67,35.53,50.0,秋季(63) / 春季(58),高铁+大巴(29) / 空调大巴(29) / 飞机+大巴(23),江西省(13) / 新疆维吾尔自治区(12) / 香港特别行政区(11) / 吉林省(10) / 上海市(9),强烈推荐(119) / 推荐(109),非常满意(119) / 满意(109),,,
贵港桂平西山,贵港市,广西,自然文化,4A,228,4.41,268.92,80.0,4.38,29.39,48.68,秋季(61) / 夏季(56),飞机+大巴(25) / 高铁+大巴(21) / 空调大巴(21),河北省(13) / 青海省(12) / 内蒙古自治区(11) / 黑龙江省(10) / 湖南省(10),推荐(121) / 强烈推荐(107),满意(121) / 非常满意(107),,,
滇池,昆明市,云南,自然风光,4A,228,4.25,177.38,0.0,4.51,30.7,53.51,冬季(64) / 秋季(62),空调大巴(27) / 高铁+大巴(22) / 飞机+大巴(21),河南省(12) / 天津市(11) / 吉林省(10) / 江西省(10) / 安徽省(9),推荐(163) / 强烈推荐(65),满意(163) / 非常满意(65),昆明,D:\wzb\全部131个景点\昆明.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_066.png
鸭绿江断桥,丹东市,辽宁,红色旅游,4A,228,4.01,208.24,30.0,4.56,30.7,37.28,夏季(67) / 秋季(60),高铁+大巴(28) / 飞机+大巴(23) / 空调大巴(19),重庆市(14) / 安徽省(13) / 广东省(12) / 上海市(10) / 新疆维吾尔自治区(9),推荐(216) / 强烈推荐(12),满意(216) / 非常满意(12),,,
红海滩,盘锦市,辽宁,自然风光,5A,227,4.79,272.57,85.0,4.61,30.84,45.81,夏季(61) / 春季(58),高铁+大巴(30) / 飞机+大巴(21) / 空调大巴(19),内蒙古自治区(13) / 吉林省(12) / 青海省(12) / 宁夏回族自治区(11) / 澳门特别行政区(9),强烈推荐(216) / 推荐(11),非常满意(216) / 满意(11),,,
恩施大峡谷,恩施州,湖北,自然风光,5A,227,4.71,324.33,170.0,4.43,28.63,51.54,春季(62) / 冬季(57),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(18),上海市(15) / 吉林省(13) / 湖南省(12) / 广东省(11) / 河北省(11),强烈推荐(176) / 推荐(51),非常满意(176) / 满意(51),,,
方特欢乐世界,芜湖市,安徽,主题公园,5A,227,4.61,461.39,280.0,4.48,31.28,44.93,春季(72) / 夏季(56),飞机+大巴(36) / 空调大巴(20) / 高铁+大巴(15),广西壮族自治区(13) / 内蒙古自治区(12) / 山西省(12) / 新疆维吾尔自治区(11) / 陕西省(10),强烈推荐(154) / 推荐(73),非常满意(154) / 满意(73),,,
白洋淀,保定市,河北,自然风光,5A,227,4.54,359.03,185.0,4.73,30.84,44.49,冬季(71) / 春季(59),高铁+大巴(25) / 空调大巴(25) / 飞机+大巴(20),北京市(12) / 河南省(11) / 甘肃省(11) / 广东省(11) / 浙江省(11),强烈推荐(125) / 推荐(102),非常满意(125) / 满意(102),白洋淀旅游攻略,D:\wzb\全部131个景点\白洋淀旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_093.png
香山公园,北京市,北京,自然风光,4A,227,4.4,160.16,10.0,4.57,28.63,46.7,夏季(66) / 冬季(61),飞机+大巴(26) / 高铁+大巴(22) / 空调大巴(17),河北省(15) / 天津市(10) / 辽宁省(10) / 上海市(10) / 贵州省(9),推荐(127) / 强烈推荐(100),满意(127) / 非常满意(100),北京,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_018.png
成都大熊猫繁育基地,成都市,四川,动物园,4A,227,4.1,240.38,58.0,4.38,37.0,44.49,冬季(59) / 秋季(59),高铁+大巴(41) / 飞机+大巴(22) / 空调大巴(21),江西省(11) / 河北省(10) / 湖北省(10) / 新疆维吾尔自治区(10) / 上海市(9),推荐(189) / 强烈推荐(38),满意(189) / 非常满意(38),成都攻略,D:\wzb\全部131个景点\成都攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_057.png
北大壶滑雪场,吉林市,吉林,运动休闲,4A,227,4.02,463.82,300.0,4.62,27.31,41.85,冬季(64) / 夏季(56),飞机+大巴(23) / 高铁+大巴(21) / 空调大巴(18),香港特别行政区(11) / 青海省(10) / 湖北省(10) / 广东省(9) / 澳门特别行政区(9),推荐(212) / 强烈推荐(15),满意(212) / 非常满意(15),,,
